instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time
740,2011-02-03,1,0,2,5,0,4,1,1,0.16,0.1364,0.5,0.2985,0,2,2,morning
741,2011-02-03,1,0,2,6,0,4,1,1,0.16,0.1364,0.43,0.3582,0,39,39,morning
742,2011-02-03,1,0,2,7,0,4,1,1,0.14,0.1212,0.5,0.3284,1,86,87,morning
743,2011-02-03,1,0,2,8,0,4,1,1,0.14,0.1212,0.5,0.3582,4,184,188,morning
744,2011-02-03,1,0,2,9,0,4,1,1,0.16,0.1364,0.47,0.2985,6,127,133,morning
745,2011-02-03,1,0,2,10,0,4,1,1,0.18,0.1515,0.43,0.3284,2,50,52,morning
746,2011-02-03,1,0,2,11,0,4,1,1,0.18,0.1364,0.43,0.4478,9,55,64,afternoon
747,2011-02-03,1,0,2,12,0,4,1,1,0.2,0.1818,0.4,0.3582,2,67,69,afternoon
748,2011-02-03,1,0,2,13,0,4,1,1,0.2,0.1667,0.4,0.4179,4,47,51,afternoon
749,2011-02-03,1,0,2,14,0,4,1,1,0.22,0.197,0.37,0.3881,4,43,47,afternoon
750,2011-02-03,1,0,2,15,0,4,1,1,0.22,0.197,0.37,0.3284,4,56,60,afternoon
751,2011-02-03,1,0,2,16,0,4,1,1,0.22,0.2121,0.37,0.2537,5,73,78,afternoon
752,2011-02-03,1,0,2,17,0,4,1,1,0.2,0.197,0.4,0.194,5,170,175,evening
753,2011-02-03,1,0,2,18,0,4,1,1,0.2,0.2121,0.4,0.1642,2,145,147,evening
754,2011-02-03,1,0,2,19,0,4,1,1,0.2,0.2576,0.4,0.0,4,92,96,evening
755,2011-02-03,1,0,2,20,0,4,1,1,0.2,0.2273,0.47,0.0896,1,108,109,evening
756,2011-02-03,1,0,2,21,0,4,1,1,0.18,0.2121,0.55,0.1045,1,53,54,evening
757,2011-02-03,1,0,2,22,0,4,1,1,0.18,0.2121,0.51,0.0896,2,39,41,evening
758,2011-02-03,1,0,2,23,0,4,1,1,0.2,0.2273,0.47,0.1045,4,34,38,midnight
759,2011-02-04,1,0,2,0,0,5,1,2,0.2,0.2576,0.44,0.0,3,10,13,midnight
760,2011-02-04,1,0,2,1,0,5,1,2,0.16,0.2273,0.59,0.0,0,7,7,midnight
761,2011-02-04,1,0,2,2,0,5,1,2,0.14,0.1667,0.63,0.1045,0,1,1,midnight
762,2011-02-04,1,0,2,3,0,5,1,2,0.14,0.1667,0.63,0.1045,0,1,1,midnight
763,2011-02-04,1,0,2,5,0,5,1,2,0.14,0.1515,0.63,0.1343,0,7,7,morning
764,2011-02-04,1,0,2,6,0,5,1,2,0.16,0.2273,0.55,0.0,2,26,28,morning
765,2011-02-04,1,0,2,7,0,5,1,1,0.14,0.2121,0.59,0.0,0,87,87,morning
766,2011-02-04,1,0,2,8,0,5,1,1,0.14,0.1515,0.74,0.1343,3,217,220,morning
767,2011-02-04,1,0,2,9,0,5,1,2,0.16,0.1818,0.8,0.1343,3,124,127,morning
768,2011-02-04,1,0,2,10,0,5,1,2,0.2,0.2121,0.51,0.1343,5,46,51,morning
769,2011-02-04,1,0,2,11,0,5,1,1,0.22,0.2273,0.51,0.1642,3,61,64,afternoon
770,2011-02-04,1,0,2,12,0,5,1,2,0.24,0.2424,0.48,0.1642,8,78,86,afternoon
771,2011-02-04,1,0,2,13,0,5,1,2,0.26,0.2576,0.5,0.2239,9,73,82,afternoon
772,2011-02-04,1,0,2,14,0,5,1,2,0.28,0.2727,0.45,0.1642,15,76,91,afternoon
773,2011-02-04,1,0,2,15,0,5,1,2,0.28,0.2727,0.48,0.2537,9,81,90,afternoon
774,2011-02-04,1,0,2,16,0,5,1,2,0.3,0.2879,0.42,0.2239,8,91,99,afternoon
775,2011-02-04,1,0,2,17,0,5,1,2,0.26,0.2727,0.56,0.1343,10,195,205,evening
776,2011-02-04,1,0,2,18,0,5,1,2,0.24,0.2576,0.6,0.1045,3,152,155,evening
777,2011-02-04,1,0,2,19,0,5,1,2,0.24,0.2424,0.65,0.1343,1,102,103,evening
778,2011-02-04,1,0,2,20,0,5,1,2,0.24,0.2424,0.65,0.1642,2,69,71,evening
779,2011-02-04,1,0,2,21,0,5,1,2,0.24,0.2424,0.7,0.1642,2,41,43,evening
780,2011-02-04,1,0,2,22,0,5,1,2,0.24,0.2424,0.65,0.1642,1,45,46,evening
781,2011-02-04,1,0,2,23,0,5,1,2,0.24,0.2424,0.7,0.1343,1,30,31,midnight
782,2011-02-05,1,0,2,0,0,6,0,2,0.24,0.2424,0.7,0.1642,3,36,39,midnight
783,2011-02-05,1,0,2,1,0,6,0,2,0.24,0.2424,0.65,0.1642,1,17,18,midnight
784,2011-02-05,1,0,2,2,0,6,0,2,0.24,0.2424,0.75,0.1642,5,12,17,midnight
785,2011-02-05,1,0,2,3,0,6,0,2,0.24,0.2424,0.75,0.1642,1,10,11,midnight
786,2011-02-05,1,0,2,4,0,6,0,3,0.22,0.2273,0.93,0.1343,0,8,8,midnight
787,2011-02-05,1,0,2,5,0,6,0,3,0.2,0.2273,1.0,0.0896,0,9,9,morning
788,2011-02-05,1,0,2,6,0,6,0,3,0.2,0.2576,1.0,0.0,0,4,4,morning
789,2011-02-05,1,0,2,7,0,6,0,3,0.22,0.2576,0.93,0.0896,0,4,4,morning
790,2011-02-05,1,0,2,8,0,6,0,3,0.2,0.2273,1.0,0.0896,0,10,10,morning
791,2011-02-05,1,0,2,9,0,6,0,3,0.2,0.2273,1.0,0.0896,3,17,20,morning
792,2011-02-05,1,0,2,10,0,6,0,3,0.2,0.2121,1.0,0.1343,3,31,34,morning
793,2011-02-05,1,0,2,11,0,6,0,3,0.22,0.2273,1.0,0.1343,1,46,47,afternoon
794,2011-02-05,1,0,2,12,0,6,0,3,0.22,0.2273,1.0,0.1642,10,42,52,afternoon
795,2011-02-05,1,0,2,13,0,6,0,3,0.22,0.2273,1.0,0.1642,10,62,72,afternoon
796,2011-02-05,1,0,2,14,0,6,0,3,0.22,0.2727,1.0,0.0,5,50,55,afternoon
797,2011-02-05,1,0,2,15,0,6,0,3,0.22,0.2727,1.0,0.0,11,49,60,afternoon
798,2011-02-05,1,0,2,16,0,6,0,3,0.22,0.2273,1.0,0.1343,8,63,71,afternoon
799,2011-02-05,1,0,2,17,0,6,0,2,0.24,0.2121,1.0,0.2836,14,64,78,evening
800,2011-02-05,1,0,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,2,81,83,evening
801,2011-02-05,1,0,2,19,0,6,0,2,0.28,0.2424,0.93,0.4478,6,78,84,evening
802,2011-02-05,1,0,2,20,0,6,0,1,0.3,0.2879,0.87,0.2537,5,64,69,evening
803,2011-02-05,1,0,2,21,0,6,0,1,0.26,0.2576,1.0,0.194,3,53,56,evening
804,2011-02-05,1,0,2,22,0,6,0,1,0.26,0.2727,0.93,0.1343,2,43,45,evening
805,2011-02-05,1,0,2,23,0,6,0,1,0.26,0.2576,0.93,0.2239,7,52,59,midnight
806,2011-02-06,1,0,2,0,0,0,0,1,0.26,0.2576,0.7,0.194,2,37,39,midnight
807,2011-02-06,1,0,2,1,0,0,0,1,0.26,0.2273,0.65,0.4179,4,40,44,midnight
808,2011-02-06,1,0,2,2,0,0,0,1,0.26,0.2273,0.6,0.3284,0,20,20,midnight
809,2011-02-06,1,0,2,3,0,0,0,1,0.26,0.2879,0.6,0.0896,3,10,13,midnight
810,2011-02-06,1,0,2,4,0,0,0,1,0.26,0.2273,0.6,0.3582,0,2,2,midnight
811,2011-02-06,1,0,2,5,0,0,0,1,0.26,0.2576,0.6,0.2239,0,1,1,morning
812,2011-02-06,1,0,2,6,0,0,0,1,0.26,0.2576,0.6,0.2239,0,1,1,morning
813,2011-02-06,1,0,2,7,0,0,0,1,0.24,0.2424,0.65,0.1642,0,8,8,morning
814,2011-02-06,1,0,2,8,0,0,0,1,0.24,0.2576,0.65,0.1045,2,21,23,morning
815,2011-02-06,1,0,2,9,0,0,0,1,0.28,0.2879,0.56,0.1045,7,38,45,morning
816,2011-02-06,1,0,2,10,0,0,0,1,0.3,0.2879,0.52,0.2537,15,74,89,morning
817,2011-02-06,1,0,2,11,0,0,0,1,0.32,0.303,0.49,0.2537,28,89,117,afternoon
818,2011-02-06,1,0,2,12,0,0,0,1,0.34,0.3333,0.46,0.0,48,126,174,afternoon
819,2011-02-06,1,0,2,13,0,0,0,1,0.34,0.3636,0.46,0.0,47,135,182,afternoon
820,2011-02-06,1,0,2,14,0,0,0,1,0.34,0.3485,0.46,0.0896,47,114,161,afternoon
821,2011-02-06,1,0,2,15,0,0,0,1,0.34,0.3485,0.46,0.0896,52,130,182,afternoon
822,2011-02-06,1,0,2,16,0,0,0,1,0.34,0.3485,0.49,0.1045,42,115,157,afternoon
823,2011-02-06,1,0,2,17,0,0,0,1,0.34,0.3636,0.46,0.0,24,97,121,evening
824,2011-02-06,1,0,2,18,0,0,0,1,0.3,0.303,0.56,0.1642,13,65,78,evening
825,2011-02-06,1,0,2,19,0,0,0,1,0.28,0.2879,0.61,0.1343,1,20,21,evening
826,2011-02-06,1,0,2,20,0,0,0,1,0.28,0.2879,0.61,0.1045,5,21,26,evening
827,2011-02-06,1,0,2,21,0,0,0,1,0.26,0.303,0.6,0.0,5,22,27,evening
828,2011-02-06,1,0,2,22,0,0,0,1,0.26,0.303,0.6,0.0,5,57,62,evening
829,2011-02-06,1,0,2,23,0,0,0,1,0.24,0.2879,0.65,0.0,4,26,30,midnight
830,2011-02-07,1,0,2,0,0,1,1,1,0.24,0.2879,0.65,0.0,1,14,15,midnight
831,2011-02-07,1,0,2,1,0,1,1,1,0.22,0.2727,0.75,0.0,1,4,5,midnight
832,2011-02-07,1,0,2,2,0,1,1,1,0.2,0.2576,0.8,0.0,0,3,3,midnight
833,2011-02-07,1,0,2,3,0,1,1,1,0.2,0.2576,0.86,0.0,0,1,1,midnight
834,2011-02-07,1,0,2,4,0,1,1,1,0.2,0.2576,0.86,0.0,1,1,2,midnight
835,2011-02-07,1,0,2,5,0,1,1,1,0.2,0.2576,0.86,0.0,1,9,10,morning
836,2011-02-07,1,0,2,6,0,1,1,1,0.18,0.2424,0.93,0.0,1,29,30,morning
837,2011-02-07,1,0,2,7,0,1,1,1,0.18,0.2424,0.86,0.0,6,89,95,morning
838,2011-02-07,1,0,2,8,0,1,1,2,0.16,0.2273,1.0,0.0,7,223,230,morning
839,2011-02-07,1,0,2,9,0,1,1,1,0.22,0.2727,0.8,0.0,3,115,118,morning
840,2011-02-07,1,0,2,10,0,1,1,1,0.24,0.2576,0.75,0.1045,6,49,55,morning
841,2011-02-07,1,0,2,11,0,1,1,1,0.3,0.3182,0.65,0.0896,11,36,47,afternoon
842,2011-02-07,1,0,2,12,0,1,1,2,0.32,0.3485,0.62,0.0,7,59,66,afternoon
843,2011-02-07,1,0,2,13,0,1,1,2,0.36,0.3636,0.57,0.0896,10,54,64,afternoon
844,2011-02-07,1,0,2,14,0,1,1,2,0.36,0.3636,0.57,0.0896,8,52,60,afternoon
845,2011-02-07,1,0,2,15,0,1,1,2,0.38,0.3939,0.54,0.0896,4,46,50,afternoon
846,2011-02-07,1,0,2,16,0,1,1,2,0.36,0.3485,0.57,0.1343,16,98,114,afternoon
847,2011-02-07,1,0,2,17,0,1,1,2,0.32,0.3182,0.7,0.1642,9,207,216,evening
848,2011-02-07,1,0,2,18,0,1,1,2,0.34,0.3333,0.66,0.1343,5,170,175,evening
849,2011-02-07,1,0,2,19,0,1,1,2,0.32,0.3485,0.7,0.0,5,123,128,evening
850,2011-02-07,1,0,2,20,0,1,1,2,0.32,0.3333,0.7,0.1045,6,82,88,evening
851,2011-02-07,1,0,2,21,0,1,1,1,0.32,0.3485,0.7,0.0,3,75,78,evening
852,2011-02-07,1,0,2,22,0,1,1,1,0.28,0.303,0.81,0.0896,3,34,37,evening
853,2011-02-07,1,0,2,23,0,1,1,2,0.3,0.3333,0.81,0.0,6,19,25,midnight
854,2011-02-08,1,0,2,0,0,2,1,2,0.28,0.3182,0.87,0.0,4,6,10,midnight
855,2011-02-08,1,0,2,1,0,2,1,2,0.28,0.3182,0.87,0.0,0,4,4,midnight
856,2011-02-08,1,0,2,2,0,2,1,2,0.26,0.2727,0.93,0.1045,1,1,2,midnight
857,2011-02-08,1,0,2,3,0,2,1,3,0.28,0.2727,0.93,0.1642,0,1,1,midnight
858,2011-02-08,1,0,2,4,0,2,1,1,0.26,0.2576,0.93,0.1642,0,3,3,midnight
859,2011-02-08,1,0,2,5,0,2,1,1,0.26,0.2273,0.81,0.3284,0,2,2,morning
860,2011-02-08,1,0,2,6,0,2,1,1,0.26,0.2273,0.7,0.3284,0,39,39,morning
861,2011-02-08,1,0,2,7,0,2,1,1,0.24,0.197,0.65,0.4179,3,97,100,morning
862,2011-02-08,1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243,morning
863,2011-02-08,1,0,2,9,0,2,1,1,0.24,0.197,0.52,0.4925,7,128,135,morning
864,2011-02-08,1,0,2,10,0,2,1,1,0.22,0.1818,0.47,0.5522,4,44,48,morning
865,2011-02-08,1,0,2,11,0,2,1,1,0.22,0.1818,0.47,0.4627,1,49,50,afternoon
866,2011-02-08,1,0,2,12,0,2,1,1,0.24,0.197,0.38,0.4925,2,63,65,afternoon
867,2011-02-08,1,0,2,13,0,2,1,2,0.24,0.197,0.32,0.4478,2,48,50,afternoon
868,2011-02-08,1,0,2,14,0,2,1,1,0.22,0.197,0.37,0.4179,3,61,64,afternoon
869,2011-02-08,1,0,2,15,0,2,1,1,0.22,0.197,0.35,0.3881,6,45,51,afternoon
870,2011-02-08,1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,4,79,83,afternoon
871,2011-02-08,1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176,evening
872,2011-02-08,1,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,1,151,152,evening
873,2011-02-08,1,0,2,19,0,2,1,1,0.16,0.1212,0.4,0.4627,1,100,101,evening
874,2011-02-08,1,0,2,20,0,2,1,1,0.16,0.1364,0.4,0.3284,3,53,56,evening
875,2011-02-08,1,0,2,21,0,2,1,1,0.14,0.1061,0.33,0.4627,8,46,54,evening
876,2011-02-08,1,0,2,22,0,2,1,1,0.12,0.1061,0.33,0.3582,0,29,29,evening
877,2011-02-08,1,0,2,23,0,2,1,1,0.12,0.1061,0.33,0.3284,3,9,12,midnight
878,2011-02-09,1,0,2,0,0,3,1,1,0.1,0.0758,0.36,0.3582,0,17,17,midnight
879,2011-02-09,1,0,2,1,0,3,1,1,0.1,0.1061,0.36,0.2239,0,7,7,midnight
880,2011-02-09,1,0,2,2,0,3,1,1,0.08,0.0758,0.38,0.2836,1,2,3,midnight
881,2011-02-09,1,0,2,3,0,3,1,1,0.06,0.0758,0.45,0.1343,0,2,2,midnight
882,2011-02-09,1,0,2,5,0,3,1,1,0.06,0.1061,0.45,0.1045,0,7,7,morning
883,2011-02-09,1,0,2,6,0,3,1,1,0.06,0.1515,0.45,0.0,0,43,43,morning
884,2011-02-09,1,0,2,7,0,3,1,1,0.06,0.1061,0.49,0.1045,4,95,99,morning
885,2011-02-09,1,0,2,8,0,3,1,1,0.1,0.1364,0.42,0.0,1,198,199,morning
886,2011-02-09,1,0,2,9,0,3,1,1,0.12,0.1364,0.39,0.1642,4,119,123,morning
887,2011-02-09,1,0,2,10,0,3,1,1,0.14,0.1818,0.36,0.0,8,51,59,morning
888,2011-02-09,1,0,2,11,0,3,1,2,0.14,0.1515,0.43,0.1642,1,40,41,afternoon
889,2011-02-09,1,0,2,12,0,3,1,2,0.18,0.1818,0.4,0.2239,4,57,61,afternoon
890,2011-02-09,1,0,2,13,0,3,1,1,0.18,0.1667,0.4,0.2537,2,67,69,afternoon
891,2011-02-09,1,0,2,14,0,3,1,1,0.2,0.1818,0.34,0.2985,2,56,58,afternoon
892,2011-02-09,1,0,2,15,0,3,1,2,0.2,0.1818,0.34,0.2836,3,61,64,afternoon
893,2011-02-09,1,0,2,16,0,3,1,2,0.2,0.197,0.37,0.2537,7,72,79,afternoon
894,2011-02-09,1,0,2,17,0,3,1,2,0.2,0.197,0.34,0.2537,9,157,166,evening
895,2011-02-09,1,0,2,18,0,3,1,2,0.18,0.1667,0.47,0.2985,2,168,170,evening
896,2011-02-09,1,0,2,19,0,3,1,3,0.14,0.1212,0.86,0.2537,1,87,88,evening
897,2011-02-09,1,0,2,20,0,3,1,3,0.14,0.1515,0.86,0.1642,0,84,84,evening
898,2011-02-09,1,0,2,21,0,3,1,2,0.14,0.1515,0.86,0.1642,0,83,83,evening
899,2011-02-09,1,0,2,22,0,3,1,3,0.16,0.1667,0.8,0.1642,4,42,46,evening
900,2011-02-09,1,0,2,23,0,3,1,3,0.16,0.1515,0.8,0.194,0,37,37,midnight
901,2011-02-10,1,0,2,0,0,4,1,3,0.14,0.1364,0.86,0.194,0,16,16,midnight
902,2011-02-10,1,0,2,1,0,4,1,3,0.14,0.1515,0.8,0.1343,0,7,7,midnight
903,2011-02-10,1,0,2,2,0,4,1,3,0.14,0.1515,0.8,0.1343,0,3,3,midnight
904,2011-02-10,1,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239,0,1,1,midnight
905,2011-02-10,1,0,2,5,0,4,1,2,0.12,0.1212,0.5,0.2239,0,6,6,morning
906,2011-02-10,1,0,2,6,0,4,1,2,0.12,0.1212,0.54,0.2836,0,26,26,morning
907,2011-02-10,1,0,2,7,0,4,1,1,0.1,0.0758,0.5,0.4179,0,99,99,morning
908,2011-02-10,1,0,2,8,0,4,1,1,0.1,0.0758,0.49,0.3284,5,173,178,morning
909,2011-02-10,1,0,2,9,0,4,1,1,0.12,0.1061,0.42,0.3582,1,121,122,morning
910,2011-02-10,1,0,2,10,0,4,1,1,0.12,0.1061,0.42,0.2985,1,34,35,morning
911,2011-02-10,1,0,2,11,0,4,1,1,0.14,0.1212,0.39,0.3582,1,44,45,afternoon
912,2011-02-10,1,0,2,12,0,4,1,1,0.16,0.1364,0.34,0.3881,4,65,69,afternoon
913,2011-02-10,1,0,2,13,0,4,1,1,0.18,0.1667,0.29,0.2985,3,59,62,afternoon
914,2011-02-10,1,0,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,6,42,48,afternoon
915,2011-02-10,1,0,2,15,0,4,1,1,0.2,0.197,0.25,0.2537,0,50,50,afternoon
916,2011-02-10,1,0,2,16,0,4,1,1,0.2,0.1818,0.27,0.2985,4,76,80,afternoon
917,2011-02-10,1,0,2,17,0,4,1,1,0.18,0.1818,0.26,0.194,6,159,165,evening
918,2011-02-10,1,0,2,18,0,4,1,1,0.16,0.1818,0.28,0.1343,3,157,160,evening
919,2011-02-10,1,0,2,19,0,4,1,1,0.14,0.1667,0.28,0.1045,2,110,112,evening
920,2011-02-10,1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97,evening
921,2011-02-10,1,0,2,21,0,4,1,1,0.14,0.2121,0.39,0.0,2,70,72,evening
922,2011-02-10,1,0,2,22,0,4,1,1,0.12,0.197,0.39,0.0,4,47,51,evening
923,2011-02-10,1,0,2,23,0,4,1,1,0.12,0.1515,0.42,0.1045,1,33,34,midnight
924,2011-02-11,1,0,2,0,0,5,1,1,0.1,0.1364,0.49,0.1045,2,12,14,midnight
925,2011-02-11,1,0,2,1,0,5,1,1,0.1,0.1364,0.54,0.0896,1,6,7,midnight
926,2011-02-11,1,0,2,2,0,5,1,1,0.1,0.1364,0.54,0.0896,0,3,3,midnight
927,2011-02-11,1,0,2,5,0,5,1,1,0.08,0.1212,0.63,0.0896,0,4,4,morning
928,2011-02-11,1,0,2,6,0,5,1,1,0.1,0.1818,0.68,0.0,1,23,24,morning
929,2011-02-11,1,0,2,7,0,5,1,1,0.08,0.1667,0.73,0.0,1,73,74,morning
930,2011-02-11,1,0,2,8,0,5,1,1,0.1,0.1212,0.74,0.1642,4,212,216,morning
931,2011-02-11,1,0,2,9,0,5,1,1,0.12,0.1212,0.74,0.2239,8,132,140,morning
932,2011-02-11,1,0,2,10,0,5,1,1,0.14,0.1364,0.69,0.194,5,39,44,morning
933,2011-02-11,1,0,2,11,0,5,1,1,0.22,0.2273,0.47,0.1343,12,52,64,afternoon
934,2011-02-11,1,0,2,12,0,5,1,1,0.22,0.2273,0.47,0.1343,7,64,71,afternoon
935,2011-02-11,1,0,2,13,0,5,1,1,0.24,0.2273,0.35,0.194,21,89,110,afternoon
936,2011-02-11,1,0,2,14,0,5,1,1,0.3,0.2879,0.26,0.2537,17,67,84,afternoon
937,2011-02-11,1,0,2,15,0,5,1,1,0.32,0.3182,0.21,0.1642,12,62,74,afternoon
938,2011-02-11,1,0,2,16,0,5,1,1,0.3,0.2879,0.28,0.194,14,111,125,afternoon
939,2011-02-11,1,0,2,17,0,5,1,1,0.3,0.3333,0.24,0.0,18,193,211,evening
940,2011-02-11,1,0,2,18,0,5,1,1,0.28,0.3182,0.28,0.0,9,165,174,evening
941,2011-02-11,1,0,2,19,0,5,1,1,0.26,0.303,0.33,0.0,7,94,101,evening
942,2011-02-11,1,0,2,20,0,5,1,1,0.22,0.2273,0.55,0.1343,2,61,63,evening
943,2011-02-11,1,0,2,21,0,5,1,1,0.2,0.2121,0.59,0.1343,1,46,47,evening
944,2011-02-11,1,0,2,22,0,5,1,1,0.2,0.2273,0.64,0.0896,2,41,43,evening
945,2011-02-11,1,0,2,23,0,5,1,1,0.18,0.2424,0.69,0.0,5,48,53,midnight
946,2011-02-12,1,0,2,0,0,6,0,1,0.16,0.197,0.69,0.0896,3,27,30,midnight
947,2011-02-12,1,0,2,1,0,6,0,1,0.14,0.2121,0.86,0.0,2,22,24,midnight
948,2011-02-12,1,0,2,2,0,6,0,1,0.14,0.2121,0.8,0.0,2,13,15,midnight
949,2011-02-12,1,0,2,3,0,6,0,1,0.12,0.197,0.8,0.0,3,7,10,midnight
950,2011-02-12,1,0,2,4,0,6,0,1,0.12,0.1667,0.74,0.0896,0,4,4,midnight
951,2011-02-12,1,0,2,5,0,6,0,1,0.12,0.1667,0.74,0.0896,0,1,1,morning
952,2011-02-12,1,0,2,6,0,6,0,1,0.12,0.1364,0.93,0.194,1,1,2,morning
953,2011-02-12,1,0,2,7,0,6,0,1,0.12,0.1515,0.8,0.1045,2,9,11,morning
954,2011-02-12,1,0,2,8,0,6,0,1,0.14,0.1515,0.86,0.1343,2,28,30,morning
955,2011-02-12,1,0,2,9,0,6,0,1,0.16,0.1818,0.64,0.1343,5,38,43,morning
956,2011-02-12,1,0,2,10,0,6,0,1,0.22,0.2121,0.41,0.2537,13,71,84,morning
957,2011-02-12,1,0,2,11,0,6,0,1,0.3,0.2727,0.28,0.3284,30,84,114,afternoon
958,2011-02-12,1,0,2,12,0,6,0,1,0.3,0.2727,0.39,0.4627,27,93,120,afternoon
959,2011-02-12,1,0,2,13,0,6,0,1,0.3,0.2727,0.39,0.4179,32,103,135,afternoon
960,2011-02-12,1,0,2,14,0,6,0,1,0.34,0.3182,0.31,0.2836,30,90,120,afternoon
961,2011-02-12,1,0,2,15,0,6,0,1,0.34,0.303,0.29,0.4179,47,127,174,afternoon
962,2011-02-12,1,0,2,16,0,6,0,1,0.34,0.303,0.29,0.4179,42,103,145,afternoon
963,2011-02-12,1,0,2,17,0,6,0,1,0.32,0.2879,0.31,0.5224,24,113,137,evening
964,2011-02-12,1,0,2,18,0,6,0,1,0.28,0.2576,0.38,0.3284,4,60,64,evening
965,2011-02-12,1,0,2,19,0,6,0,1,0.28,0.2727,0.38,0.1642,2,39,41,evening
966,2011-02-12,1,0,2,20,0,6,0,1,0.26,0.2576,0.41,0.2239,1,39,40,evening
967,2011-02-12,1,0,2,21,0,6,0,1,0.26,0.303,0.41,0.0,9,42,51,evening
968,2011-02-12,1,0,2,22,0,6,0,1,0.24,0.2576,0.44,0.0896,6,39,45,evening
969,2011-02-12,1,0,2,23,0,6,0,1,0.22,0.2273,0.51,0.1343,1,31,32,midnight
970,2011-02-13,1,0,2,0,0,0,0,1,0.2,0.2273,0.64,0.1045,5,34,39,midnight
971,2011-02-13,1,0,2,1,0,0,0,1,0.2,0.2273,0.59,0.0896,1,23,24,midnight
972,2011-02-13,1,0,2,2,0,0,0,2,0.2,0.2273,0.75,0.0896,1,19,20,midnight
973,2011-02-13,1,0,2,3,0,0,0,2,0.2,0.2273,0.69,0.1045,4,8,12,midnight
974,2011-02-13,1,0,2,4,0,0,0,2,0.2,0.2121,0.69,0.1642,0,2,2,midnight
975,2011-02-13,1,0,2,6,0,0,0,2,0.2,0.2121,0.69,0.1343,2,3,5,morning
976,2011-02-13,1,0,2,7,0,0,0,2,0.22,0.2727,0.55,0.0,0,3,3,morning
977,2011-02-13,1,0,2,8,0,0,0,2,0.22,0.2273,0.64,0.194,1,11,12,morning
978,2011-02-13,1,0,2,9,0,0,0,2,0.24,0.2273,0.6,0.2239,12,35,47,morning
979,2011-02-13,1,0,2,10,0,0,0,1,0.3,0.2727,0.45,0.3284,19,86,105,morning
980,2011-02-13,1,0,2,11,0,0,0,1,0.32,0.2879,0.39,0.4478,26,86,112,afternoon
981,2011-02-13,1,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,58,94,152,afternoon
982,2011-02-13,1,0,2,13,0,0,0,1,0.38,0.3939,0.29,0.3582,62,92,154,afternoon
983,2011-02-13,1,0,2,14,0,0,0,2,0.4,0.4091,0.3,0.4179,51,110,161,afternoon
984,2011-02-13,1,0,2,15,0,0,0,2,0.4,0.4091,0.3,0.2985,40,122,162,afternoon
985,2011-02-13,1,0,2,16,0,0,0,2,0.42,0.4242,0.28,0.3284,28,106,134,afternoon
986,2011-02-13,1,0,2,17,0,0,0,1,0.42,0.4242,0.28,0.3284,30,95,125,evening
987,2011-02-13,1,0,2,18,0,0,0,1,0.4,0.4091,0.32,0.2985,17,78,95,evening
988,2011-02-13,1,0,2,19,0,0,0,1,0.4,0.4091,0.35,0.2836,11,50,61,evening
989,2011-02-13,1,0,2,20,0,0,0,1,0.4,0.4091,0.35,0.3284,15,32,47,evening
990,2011-02-13,1,0,2,21,0,0,0,1,0.4,0.4091,0.35,0.3582,6,45,51,evening
991,2011-02-13,1,0,2,22,0,0,0,1,0.4,0.4091,0.35,0.2985,5,31,36,evening
992,2011-02-13,1,0,2,23,0,0,0,1,0.4,0.4091,0.35,0.3582,3,27,30,midnight
993,2011-02-14,1,0,2,0,0,1,1,1,0.38,0.3939,0.37,0.3582,3,8,11,midnight
994,2011-02-14,1,0,2,1,0,1,1,1,0.38,0.3939,0.37,0.3582,1,6,7,midnight
995,2011-02-14,1,0,2,2,0,1,1,1,0.36,0.3333,0.4,0.2985,0,2,2,midnight
996,2011-02-14,1,0,2,3,0,1,1,1,0.34,0.3182,0.46,0.2239,1,1,2,midnight
997,2011-02-14,1,0,2,4,0,1,1,1,0.32,0.303,0.53,0.2836,0,2,2,midnight
998,2011-02-14,1,0,2,5,0,1,1,1,0.32,0.303,0.53,0.2836,0,3,3,morning
999,2011-02-14,1,0,2,6,0,1,1,1,0.34,0.303,0.46,0.2985,1,25,26,morning
1000,2011-02-14,1,0,2,7,0,1,1,1,0.34,0.303,0.46,0.2985,2,96,98,morning
1001,2011-02-14,1,0,2,8,0,1,1,1,0.38,0.3939,0.4,0.4627,7,249,256,morning
1002,2011-02-14,1,0,2,9,0,1,1,1,0.4,0.4091,0.37,0.3881,8,122,130,morning
1003,2011-02-14,1,0,2,10,0,1,1,1,0.44,0.4394,0.33,0.2239,9,46,55,morning
1004,2011-02-14,1,0,2,11,0,1,1,1,0.52,0.5,0.23,0.2537,10,43,53,afternoon
